,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,rank_status
17928,1993-08-08,Bolivia,Uruguay,3,1,FIFA World Cup qualification,La Paz,Bolivia,False,2
17929,1993-08-08,Brazil,Mexico,1,1,Friendly,Maceió,Brazil,False,2
17930,1993-08-08,Ecuador,Venezuela,5,0,FIFA World Cup qualification,Quito,Ecuador,False,2
17931,1993-08-08,Guinea,Sierra Leone,1,0,Friendly,Conakry,Guinea,False,2
17932,1993-08-08,Paraguay,Argentina,1,3,FIFA World Cup qualification,Asunción,Paraguay,False,2
17933,1993-08-08,Peru,Colombia,0,1,FIFA World Cup qualification,Lima,Peru,False,2
17935,1993-08-09,Guinea,Sierra Leone,4,0,Friendly,Conakry,Guinea,False,2
17936,1993-08-11,Faroe Islands,Norway,0,7,Friendly,Toftir,Faroe Islands,False,2
17937,1993-08-11,Sweden,Switzerland,1,2,Friendly,Borås,Sweden,False,2
17938,1993-08-15,Australia,Canada,2,1,FIFA World Cup qualification,Sydney,Australia,False,2
17939,1993-08-15,Bolivia,Ecuador,1,0,FIFA World Cup qualification,La Paz,Bolivia,False,2
17940,1993-08-15,Colombia,Argentina,2,1,FIFA World Cup qualification,Barranquilla,Colombia,False,2
17941,1993-08-15,Congo,Guinea,0,0,African Cup of Nations qualification,Pointe-Noire,Congo,False,2
17942,1993-08-15,Paraguay,Peru,2,1,FIFA World Cup qualification,Asunción,Paraguay,False,2
17943,1993-08-15,Uruguay,Brazil,1,1,FIFA World Cup qualification,Montevideo,Uruguay,False,2
17944,1993-08-22,Argentina,Peru,2,1,FIFA World Cup qualification,Buenos Aires,Argentina,False,2
17945,1993-08-22,Bolivia,Venezuela,7,0,FIFA World Cup qualification,La Paz,Bolivia,False,2
17946,1993-08-22,Brazil,Ecuador,2,0,FIFA World Cup qualification,São Paulo,Brazil,False,2
17947,1993-08-22,Paraguay,Colombia,1,1,FIFA World Cup qualification,Asunción,Paraguay,False,2
17948,1993-08-22,Sweden,France,1,1,FIFA World Cup qualification,Solna,Sweden,False,2
17949,1993-08-25,Austria,Finland,3,0,FIFA World Cup qualification,Vienna,Austria,False,2
17950,1993-08-25,Denmark,Lithuania,4,0,FIFA World Cup qualification,Copenhagen,Denmark,False,2
17951,1993-08-29,Argentina,Paraguay,0,0,FIFA World Cup qualification,Buenos Aires,Argentina,False,2
17952,1993-08-29,Brazil,Bolivia,6,0,FIFA World Cup qualification,Recife,Brazil,False,2
17953,1993-08-29,Colombia,Peru,4,0,FIFA World Cup qualification,Barranquilla,Colombia,False,2
17954,1993-08-29,Uruguay,Venezuela,4,0,FIFA World Cup qualification,Montevideo,Uruguay,False,2
17956,1993-09-05,Argentina,Colombia,0,5,FIFA World Cup qualification,Buenos Aires,Argentina,False,2
17957,1993-09-05,Brazil,Venezuela,4,0,FIFA World Cup qualification,Belo Horizonte,Brazil,False,2
17958,1993-09-05,Ecuador,Uruguay,0,1,FIFA World Cup qualification,Guayaquil,Ecuador,False,2
17959,1993-09-05,Estonia,Portugal,0,2,FIFA World Cup qualification,Tallinn,Estonia,False,2
17960,1993-09-05,Peru,Paraguay,2,2,FIFA World Cup qualification,Lima,Peru,False,2
17962,1993-09-08,Albania,Denmark,0,1,FIFA World Cup qualification,Tirana,Albania,False,2
17963,1993-09-08,Bulgaria,Sweden,1,1,FIFA World Cup qualification,Sofia,Bulgaria,False,2
17964,1993-09-08,England,Poland,3,0,FIFA World Cup qualification,London,England,False,2
