,duration,has_event
0,3,1
1,3,1
2,18,1
3,30,1
4,29,1
5,29,1
6,6,1
7,1,1
8,6,1
9,9,1
10,17,1
11,6,1
12,27,1
13,2,1
14,45,1
15,1,1
16,10,1
17,19,1
18,9,1
19,13,1
20,18,1
21,0,1
22,33,1
23,44,1
24,1,1
25,5,1
26,43,1
27,11,1
28,16,1
29,12,1
30,35,1
31,2,1
32,21,1
33,1,1
34,7,1
35,45,1
36,14,1
37,7,1
38,17,1
39,0,1
40,24,1
41,17,1
42,19,1
43,10,1
44,22,1
45,18,1
46,29,1
47,20,1
48,11,1
49,25,1
50,7,1
51,47,1
52,27,1
53,22,1
54,22,1
55,50,1
56,16,1
57,22,1
58,14,1
59,3,1
60,16,1
61,45,1
62,18,1
63,29,1
64,6,1
65,28,1
66,4,1
67,22,1
68,9,1
69,14,1
70,10,1
71,14,1
72,14,1
73,17,1
74,17,1
75,24,1
76,28,1
77,6,1
78,5,1
79,10,1
80,25,1
81,5,1
82,15,1
83,22,1
84,14,1
85,19,1
86,32,1
87,37,1
88,31,1
89,4,1
90,18,1
91,22,1
92,19,1
93,27,1
94,15,1
95,0,1
96,31,1
97,30,1
98,24,1
99,33,1
100,23,1
101,33,1
102,0,1
103,29,1
104,0,1
105,22,1
106,18,1
107,4,1
108,10,1
109,1,1
110,10,1
111,27,1
112,15,1
113,17,1
114,15,1
115,11,1
116,14,1
117,14,1
118,11,1
119,9,1
120,3,1
121,36,1
122,8,1
123,28,1
124,7,1
125,4,1
126,30,1
127,24,1
128,5,1
129,37,1
130,14,1
131,25,1
132,3,1
133,2,1
134,3,1
135,5,1
136,1,1
137,38,1
138,6,1
139,6,1
140,2,1
141,3,1
142,33,1
143,20,1
144,14,1
145,28,1
146,40,1
147,15,1
148,9,1
149,7,1
150,39,1
151,10,1
152,9,1
153,12,1
154,2,1
155,30,1
156,5,1
157,19,1
158,6,1
159,2,1
160,12,1
161,10,1
162,9,1
163,11,1
164,4,1
165,3,1
166,17,1
167,26,1
168,13,1
169,28,1
170,8,1
171,8,1
172,21,1
173,44,1
174,1,1
175,27,1
176,3,1
177,32,1
178,19,1
179,41,1
180,11,1
181,18,1
182,13,1
183,41,1
184,6,1
185,2,1
186,18,1
187,21,1
188,9,1
189,7,1
190,3,1
191,43,1
192,5,1
193,15,1
194,32,1
195,8,1
196,3,1
197,30,1
198,33,1
199,27,1
200,5,1
201,6,1
202,14,1
203,11,1
204,1,1
205,12,1
206,13,1
207,41,1
208,24,1
209,25,1
210,24,1
211,15,1
212,19,1
213,13,1
214,10,1
215,2,1
216,2,1
217,33,1
218,22,1
219,14,1
220,26,1
221,12,1
222,12,1
223,12,1
224,4,1
225,24,1
226,3,1
227,43,1
228,14,1
229,31,1
230,39,1
231,31,1
232,0,1
233,24,1
234,5,1
235,14,1
236,10,1
237,17,1
238,2,1
239,32,1
240,17,1
241,1,1
242,22,1
243,38,1
244,20,1
245,11,1
246,8,1
247,2,1
248,4,1
249,6,1
250,39,1
251,31,1
252,18,1
253,0,1
254,3,1
255,9,1
256,8,1
257,32,1
258,9,1
259,23,1
260,0,1
261,3,1
262,39,1
263,20,1
264,13,1
265,7,1
266,30,1
267,1,1
268,29,1
269,7,1
270,28,1
271,30,1
272,2,1
273,4,1
274,11,1
275,38,1
276,13,1
277,11,1
278,22,1
279,0,1
280,39,1
281,24,1
282,41,1
283,39,1
284,3,1
285,6,1
286,16,1
287,18,1
288,3,1
289,22,1
290,5,1
291,31,1
292,4,1
293,18,1
294,5,1
295,27,1
296,23,1
297,1,1
298,3,1
299,17,1
300,18,1
301,19,1
302,14,1
303,1,1
304,1,1
305,2,1
306,4,1
307,27,1
308,21,1
309,18,1
310,20,1
311,44,1
312,37,1
313,11,1
314,8,1
315,17,1
316,16,1
317,10,1
318,8,1
319,28,1
320,12,1
321,5,1
322,5,1
323,8,1
324,21,1
325,1,1
326,41,1
327,4,1
328,18,1
329,2,1
330,49,1
331,36,1
332,6,1
333,22,1
334,24,1
335,12,1
336,42,1
337,37,1
338,32,1
339,26,1
340,4,1
341,0,1
342,39,1
343,3,1
344,27,1
345,18,1
346,37,1
347,16,1
348,7,1
349,24,1
350,22,1
351,32,1
352,4,1
353,23,1
354,16,1
355,49,1
356,33,1
357,12,1
358,31,1
359,22,1
360,10,1
361,16,1
362,29,1
363,1,1
364,8,1
365,24,1
366,18,1
367,7,1
368,33,1
369,24,1
370,34,1
371,19,1
372,12,1
373,21,1
374,24,1
375,4,1
376,5,1
377,1,1
378,9,1
379,1,1
380,1,1
381,23,1
382,0,1
383,30,1
384,27,1
385,13,1
386,26,1
387,17,1
388,23,1
389,6,1
390,0,1
391,4,1
392,23,1
393,15,1
394,1,1
395,0,1
396,14,1
397,16,1
398,13,1
399,4,1
400,8,1
401,13,1
402,11,1
403,0,1
404,3,1
405,12,1
406,41,1
407,14,1
408,1,1
409,25,1
410,10,1
411,31,1
412,18,1
413,5,1
414,4,1
415,25,1
416,9,1
417,15,1
418,35,1
419,17,1
420,39,1
421,5,1
422,10,1
423,8,1
424,8,1
425,12,1
426,40,1
427,11,1
428,48,1
429,2,1
430,6,1
431,8,1
432,18,1
433,8,1
434,30,1
435,4,1
436,17,1
437,9,1
438,23,1
439,8,1
440,7,1
441,29,1
442,3,1
443,22,1
444,20,1
445,4,1
446,25,1
447,16,1
448,2,1
449,14,1
450,16,1
451,22,1
452,5,1
453,21,1
454,22,1
455,28,1
456,29,1
457,28,1
458,16,1
459,17,1
460,27,1
461,31,1
462,20,1
463,17,1
464,19,1
465,49,1
466,31,1
467,14,1
468,35,1
469,31,1
470,20,1
471,27,1
472,14,1
473,35,1
474,24,1
475,26,1
476,32,1
477,4,1
478,6,1
479,17,1
480,47,1
481,37,1
482,8,1
483,38,1
484,41,1
485,10,1
486,2,1
487,27,1
488,14,1
489,37,1
490,11,1
491,3,1
492,28,1
493,48,1
494,16,1
495,47,1
496,20,1
497,27,1
498,16,1
499,4,1
500,39,1
501,27,1
502,32,1
503,2,1
504,14,1
505,31,1
506,50,1
507,13,1
508,32,1
509,4,1
510,10,1
511,13,1
512,23,1
513,24,1
514,1,1
515,3,1
516,22,1
517,7,1
518,4,1
519,37,1
520,48,1
521,1,1
522,35,1
523,13,1
524,9,1
525,13,1
526,36,1
527,31,1
528,29,1
529,10,1
530,2,1
531,18,1
532,14,1
533,4,1
534,15,1
535,37,1
536,5,1
537,3,1
538,26,1
539,35,1
540,2,1
541,2,1
542,8,1
543,28,1
544,30,1
545,39,1
546,21,1
547,11,1
548,46,1
549,6,1
550,1,1
551,28,1
552,22,1
553,15,1
554,11,1
555,13,1
556,33,1
557,22,1
558,25,1
559,1,1
560,35,1
561,11,1
562,15,1
563,22,1
564,3,1
565,3,1
566,32,1
567,3,1
568,17,1
569,0,1
570,7,1
571,10,1
572,14,1
573,16,1
574,30,1
575,23,1
576,8,1
577,40,1
578,33,1
579,18,1
580,32,1
581,7,1
582,7,1
583,48,1
584,7,1
585,22,1
586,21,1
587,22,1
588,1,1
589,24,1
590,11,1
591,13,1
592,26,1
593,13,1
594,13,1
595,31,1
596,41,1
597,30,1
598,21,1
599,45,1
600,13,1
601,3,1
602,8,1
603,11,1
604,38,1
605,29,1
606,46,1
607,19,1
608,6,1
609,3,1
610,19,1
611,26,1
612,9,1
613,12,1
614,25,1
615,37,1
616,29,1
617,3,1
618,12,1
619,33,1
620,42,1
621,4,1
622,24,1
623,37,1
624,23,1
625,16,1
626,41,1
627,5,1
628,10,1
629,5,1
630,24,1
631,37,1
632,24,1
633,12,1
634,2,1
635,8,1
636,47,1
637,16,1
638,37,1
639,13,1
640,11,1
641,2,1
642,15,1
643,9,1
644,27,1
645,28,1
646,13,1
647,9,1
648,8,1
649,13,1
650,20,1
651,12,1
652,10,1
653,24,1
654,13,1
655,28,1
656,16,1
657,19,1
658,26,1
659,19,1
660,23,1
661,21,1
662,11,1
663,24,1
664,25,1
665,8,1
666,19,1
667,24,1
668,1,1
669,9,1
670,25,1
671,7,1
672,15,1
673,3,1
674,5,1
675,22,1
676,15,1
677,34,1
678,10,1
679,12,1
680,0,1
681,29,1
682,33,1
683,10,1
684,35,1
685,24,1
686,18,1
687,28,1
688,10,1
689,36,1
690,38,1
691,23,1
692,4,1
693,3,1
694,39,1
695,5,1
696,27,1
697,40,1
698,21,1
699,2,1
700,47,1
701,27,1
702,3,1
703,7,1
704,7,1
705,22,1
706,1,1
707,13,1
708,30,1
709,35,1
710,13,1
711,14,1
712,12,1
713,7,1
714,35,1
715,6,1
716,31,1
717,1,1
718,20,1
719,39,1
720,7,1
721,6,1
722,3,1
723,33,1
724,15,1
725,6,1
726,27,1
727,17,1
728,1,1
729,20,1
730,9,1
731,8,1
732,15,1
733,6,1
734,1,1
735,11,1
736,31,1
737,1,1
738,13,1
739,34,1
740,14,1
741,36,1
742,11,1
743,16,1
744,26,1
745,28,1
746,11,1
747,48,1
748,15,1
749,21,1
750,28,1
751,14,1
752,0,1
753,13,1
754,9,1
755,12,1
756,41,1
757,36,1
758,5,1
759,15,1
760,19,1
761,6,1
762,23,1
