,duration,has_event,turns_since_shuffle
0,3,1,8
1,3,1,19
2,18,1,34
3,26,0,11
4,26,0,26
5,26,0,9194
6,6,1,1
7,1,1,39
8,6,1,13
9,9,1,17
10,17,1,3
11,6,1,29
12,26,0,25
13,2,1,37
14,26,0,22
15,1,1,12
16,10,1,0
17,19,1,40
18,9,1,12
19,13,1,11
20,18,1,0
21,0,1,24
22,26,0,23
23,26,0,3503
24,1,1,7
25,5,1,23
26,26,0,32
27,11,1,3
28,16,1,35
29,12,1,22
30,26,0,10
31,2,1,2
32,21,1,6
33,1,1,13
34,7,1,1
35,26,0,31
36,14,1,18
37,7,1,8141
38,17,1,1753
39,0,1,17
40,24,1,24
41,17,1,17
42,19,1,9
43,10,1,26
44,22,1,19
45,18,1,38
46,26,0,21
47,20,1,18
48,11,1,10
49,25,1,0
50,7,1,8
51,26,0,12
52,26,0,6
53,22,1,1
54,22,1,5
55,26,0,28
56,16,1,4007
57,22,1,13
58,14,1,22
59,3,1,17
60,16,1,1
61,26,0,10
62,18,1,7
63,26,0,0
64,6,1,18
65,26,0,2707
66,4,1,29
67,22,1,43
68,9,1,4
69,14,1,10
70,10,1,0
71,14,1,3
72,14,1,31
73,17,1,13
74,17,1,0
75,24,1,26
76,26,0,17
77,6,1,4
78,5,1,24
79,10,1,13
80,25,1,29
81,5,1,7
82,15,1,10
83,22,1,19
84,14,1,6
85,19,1,3
86,26,0,1
87,26,0,10
88,26,0,23
89,4,1,23
90,18,1,5
91,22,1,19
92,19,1,45
93,26,0,3
94,15,1,21
95,0,1,0
96,26,0,40
97,26,0,16
98,24,1,38
99,26,0,8
100,23,1,12
101,26,0,10
102,0,1,17
103,26,0,11
104,0,1,2
105,22,1,12
106,18,1,3
107,4,1,6
108,10,1,9
109,1,1,28
110,10,1,28
111,26,0,6
112,15,1,5
113,17,1,31
114,15,1,1
115,11,1,7
116,14,1,5
117,14,1,13
118,11,1,0
119,9,1,11
120,3,1,3
121,26,0,39
122,8,1,8
123,26,0,6
124,7,1,27
125,4,1,12
126,26,0,19
127,24,1,34
128,5,1,6
129,26,0,2
130,14,1,22
131,25,1,9
132,3,1,4089
133,2,1,14
134,3,1,15
135,5,1,17
136,1,1,0
137,26,0,582
138,6,1,1
139,6,1,43
140,2,1,23
141,3,1,11
142,26,0,23
143,20,1,2
144,14,1,18
145,26,0,36
146,26,0,25
147,15,1,12
148,9,1,3
149,7,1,0
150,26,0,25
151,10,1,0
152,9,1,9
153,12,1,17
154,2,1,3
155,26,0,20
156,5,1,40
157,19,1,15
158,6,1,5
159,2,1,40
160,12,1,11
161,10,1,14
162,9,1,1
163,11,1,23
164,4,1,10
165,3,1,10
166,17,1,38
167,26,0,29
168,13,1,18
169,26,0,20
170,8,1,5
171,8,1,9816
172,21,1,25
173,26,0,37
174,1,1,7
175,26,0,17
176,3,1,4
177,26,0,13
178,19,1,5
179,26,0,11
180,11,1,2
181,18,1,26
182,13,1,4
183,26,0,10
184,6,1,11
185,2,1,4906
186,18,1,38
187,21,1,0
188,9,1,13
189,7,1,2
190,3,1,23
191,26,0,6
192,5,1,18
193,15,1,16
194,26,0,29
195,8,1,32
196,3,1,12
197,26,0,3
198,26,0,22
199,26,0,24
200,5,1,4
201,6,1,16
202,14,1,32
203,11,1,6
204,1,1,4000
205,12,1,4
206,13,1,8848
207,26,0,19
208,24,1,25
209,25,1,3
210,24,1,11
211,15,1,1
212,19,1,1
213,13,1,4
214,10,1,0
215,2,1,13
216,2,1,3
217,26,0,17
218,22,1,14
219,14,1,8
220,26,0,27
221,12,1,14
222,12,1,42
223,12,1,12
224,4,1,6
225,24,1,32
226,3,1,31
227,26,0,31
228,14,1,6
229,26,0,25
230,26,0,26
231,26,0,40
232,0,1,15
233,24,1,3727
234,5,1,9
235,14,1,20
236,10,1,44
237,17,1,9855
238,2,1,13
239,26,0,0
240,17,1,5
241,1,1,18
242,22,1,0
243,26,0,4
244,20,1,3
245,11,1,21
246,8,1,14
247,2,1,37
248,4,1,8
249,6,1,10
250,26,0,6
251,26,0,3
252,18,1,23
253,0,1,30
254,3,1,31
255,9,1,14
256,8,1,7
257,26,0,6
258,9,1,20
259,23,1,25
260,0,1,30
261,3,1,5581
262,26,0,31
263,20,1,30
264,13,1,19
265,7,1,7
266,26,0,4
267,1,1,19
268,26,0,25
269,7,1,20
270,26,0,40
271,26,0,13
272,2,1,27
273,4,1,44
274,11,1,19
275,26,0,1
276,13,1,12
277,11,1,2
278,22,1,29
279,0,1,26
280,26,0,3
281,24,1,31
282,26,0,39
283,26,0,24
284,3,1,3
285,6,1,2
286,16,1,33
287,18,1,8
288,3,1,32
289,22,1,27
290,5,1,23
291,26,0,11
292,4,1,7699
293,18,1,17
294,5,1,11
295,26,0,5
296,23,1,9
297,1,1,45
298,3,1,21
299,17,1,4
