,,United Kingdom,Great Britain,,England,Wales,Scotland,Northern Ireland1,,North East,North West,Yorkshire & the Humber,East Midlands,West Midlands,East,London,South East,South West,,UK excluding London,GB excluding London,England excluding London
2006,Jan,-,-,,2.5,-,-,-,,3.3,1.9,3.2,3.1,2.9,3.7,1.7,2.2,3.7,,,-,2.9
,Feb,-,-,,2.5,-,-,-,,3.2,2.1,3.1,2.7,2.9,3.7,2,2.3,3.2,,,-,2.8
,Mar,-,-,,2.6,-,-,-,,3.3,2.2,3.3,2.9,2.8,4,2.1,2.4,3.3,,,-,2.9
,Apr,-,-,,2.6,-,-,-,,2.8,2.2,3.1,2.6,2.7,3.8,2.2,2.5,3.2,,,-,2.9
,May,-,-,,2.6,-,-,-,,2.8,2.2,3.2,2.3,2.7,3.6,2.4,2.4,2.8,,,-,2.7
,Jun,-,-,,2.6,-,-,-,,3.1,1.9,3,2.1,2.6,3.4,2.6,2.4,2.6,,,-,2.6
,Jul,-,-,,2.6,-,-,-,,3.3,1.7,3.1,2.1,2.6,2.9,2.8,2.3,2.5,,,-,2.5
,Aug,-,-,,2.5,-,-,-,,3.4,1.9,3.5,2.1,2.5,2.8,2.5,2.3,2.3,,,-,2.5
,Sep,-,-,,2.4,-,-,-,,3.1,1.8,3.3,2.3,2.5,2.8,2.3,2.3,2.3,,,-,2.5
,Oct,-,-,,2.3,-,-,-,,2.8,1.8,2.9,2.2,2.5,2.6,2.3,2.3,2.3,,,-,2.4
,Nov,-,-,,2.4,-,-,-,,2.6,1.9,3.2,2.4,2.5,2.6,2.4,2.3,2.3,,,-,2.4
,Dec,-,-,,2.3,-,-,-,,2.8,1.8,3.6,2.3,2.2,2.3,2.3,2,2.3,,,-,2.3
2007,Jan,-,-,,2.2,-,-,-,,2.9,1.8,3.5,2,2.1,2.1,2.1,2.3,2.2,,,-,2.3
,Feb,-,-,,2.3,-,-,-,,3,1.7,3.4,2.1,2,2.1,2.1,2.4,2.4,,,-,2.3
,Mar,-,-,,2.3,-,-,-,,2.9,2,3.1,1.9,2,2.3,2.3,2.3,2.5,,,-,2.4
