,duration,has_event
0,35.0,1.0
1,100.0,0.0
2,27.0,1.0
3,23.0,1.0
4,24.0,1.0
5,0.0,1.0
6,27.0,1.0
7,27.0,1.0
8,15.0,1.0
9,30.0,1.0
10,100.0,0.0
11,59.0,1.0
12,8.0,1.0
13,28.0,1.0
14,10.0,1.0
15,5.0,1.0
16,24.0,1.0
17,9.0,1.0
18,100.0,0.0
19,1.0,1.0
20,60.0,1.0
21,88.0,1.0
22,80.0,1.0
23,71.0,1.0
24,13.0,1.0
25,8.0,1.0
26,36.0,1.0
27,18.0,1.0
28,57.0,1.0
29,38.0,1.0
30,100.0,0.0
31,8.0,1.0
32,13.0,1.0
33,0.0,1.0
34,100.0,0.0
35,26.0,1.0
36,2.0,1.0
37,14.0,1.0
38,43.0,1.0
39,16.0,1.0
40,47.0,1.0
41,91.0,1.0
42,100.0,0.0
43,23.0,1.0
44,21.0,1.0
45,61.0,1.0
46,90.0,1.0
47,65.0,1.0
48,2.0,1.0
49,11.0,1.0
50,15.0,1.0
51,28.0,1.0
52,48.0,1.0
53,100.0,0.0
54,33.0,1.0
55,25.0,1.0
56,61.0,1.0
57,52.0,1.0
58,42.0,1.0
59,21.0,1.0
60,0.0,1.0
61,22.0,1.0
62,11.0,1.0
63,59.0,1.0
64,30.0,1.0
65,34.0,1.0
66,28.0,1.0
67,29.0,1.0
68,9.0,1.0
69,45.0,1.0
70,13.0,1.0
71,33.0,1.0
72,27.0,1.0
73,18.0,1.0
74,31.0,1.0
75,37.0,1.0
76,33.0,1.0
77,49.0,1.0
78,18.0,1.0
79,100.0,0.0
80,3.0,1.0
81,39.0,1.0
82,25.0,1.0
83,5.0,1.0
84,23.0,1.0
85,7.0,1.0
86,43.0,1.0
87,97.0,1.0
88,22.0,1.0
89,48.0,1.0
90,1.0,1.0
91,7.0,1.0
92,38.0,1.0
93,8.0,1.0
94,28.0,1.0
95,14.0,1.0
96,18.0,1.0
97,17.0,1.0
98,10.0,1.0
99,1.0,1.0
100,8.0,1.0
101,72.0,1.0
102,2.0,1.0
103,46.0,1.0
104,39.0,1.0
105,59.0,1.0
106,46.0,1.0
107,0.0,1.0
108,4.0,1.0
109,49.0,1.0
110,86.0,1.0
111,36.0,1.0
112,59.0,1.0
113,6.0,1.0
114,5.0,1.0
115,9.0,1.0
116,100.0,0.0
117,37.0,1.0
118,100.0,0.0
119,1.0,1.0
120,23.0,1.0
121,35.0,1.0
122,90.0,1.0
123,100.0,0.0
124,3.0,1.0
125,30.0,1.0
126,21.0,1.0
127,8.0,1.0
128,14.0,1.0
129,39.0,1.0
130,69.0,1.0
131,34.0,1.0
132,3.0,1.0
133,22.0,1.0
134,86.0,1.0
135,5.0,1.0
136,10.0,1.0
137,46.0,1.0
138,15.0,1.0
139,100.0,0.0
140,22.0,1.0
141,3.0,1.0
142,2.0,1.0
143,15.0,1.0
144,20.0,1.0
145,45.0,1.0
146,10.0,1.0
147,2.0,1.0
148,19.0,1.0
149,28.0,1.0
150,63.0,1.0
151,4.0,1.0
152,39.0,1.0
153,77.0,1.0
154,68.0,1.0
155,34.0,1.0
156,22.0,1.0
157,21.0,1.0
158,15.0,1.0
159,41.0,1.0
160,26.0,1.0
161,6.0,1.0
162,29.0,1.0
163,6.0,1.0
164,36.0,1.0
165,78.0,1.0
166,57.0,1.0
167,22.0,1.0
168,43.0,1.0
169,4.0,1.0
170,0.0,1.0
171,9.0,1.0
172,31.0,1.0
173,44.0,1.0
174,3.0,1.0
175,2.0,1.0
176,27.0,1.0
177,33.0,1.0
178,6.0,1.0
179,7.0,1.0
180,43.0,1.0
181,1.0,1.0
182,64.0,1.0
183,5.0,1.0
184,19.0,1.0
185,35.0,1.0
186,1.0,1.0
187,43.0,1.0
188,37.0,1.0
189,30.0,1.0
190,8.0,1.0
191,35.0,1.0
192,12.0,1.0
193,29.0,1.0
194,38.0,1.0
195,73.0,1.0
196,6.0,1.0
197,65.0,1.0
198,0.0,1.0
199,0.0,1.0
200,27.0,1.0
201,96.0,1.0
202,100.0,0.0
203,42.0,1.0
204,16.0,1.0
205,100.0,0.0
206,7.0,1.0
207,22.0,1.0
208,18.0,1.0
209,100.0,0.0
210,20.0,1.0
211,94.0,1.0
212,15.0,1.0
213,13.0,1.0
214,7.0,1.0
215,76.0,1.0
216,27.0,1.0
217,15.0,1.0
218,49.0,1.0
219,10.0,1.0
220,5.0,1.0
221,51.0,1.0
222,1.0,1.0
223,26.0,1.0
224,0.0,1.0
225,24.0,1.0
226,85.0,1.0
227,7.0,1.0
228,70.0,1.0
229,14.0,1.0
230,1.0,1.0
231,12.0,1.0
232,81.0,1.0
233,30.0,1.0
234,4.0,1.0
235,11.0,1.0
236,36.0,1.0
237,77.0,1.0
238,36.0,1.0
239,7.0,1.0
240,9.0,1.0
241,16.0,1.0
242,43.0,1.0
243,99.0,1.0
244,72.0,1.0
245,57.0,1.0
246,68.0,1.0
247,3.0,1.0
248,25.0,1.0
249,2.0,1.0
250,25.0,1.0
251,7.0,1.0
252,0.0,1.0
253,49.0,1.0
254,95.0,1.0
255,7.0,1.0
256,41.0,1.0
257,45.0,1.0
258,100.0,0.0
259,2.0,1.0
260,5.0,1.0
261,3.0,1.0
262,20.0,1.0
263,19.0,1.0
264,44.0,1.0
265,35.0,1.0
266,57.0,1.0
267,12.0,1.0
268,100.0,0.0
269,7.0,1.0
270,100.0,0.0
271,51.0,1.0
272,20.0,1.0
273,20.0,1.0
274,22.0,1.0
275,85.0,1.0
276,4.0,1.0
277,25.0,1.0
278,22.0,1.0
279,17.0,1.0
280,9.0,1.0
281,0.0,1.0
282,11.0,1.0
283,24.0,1.0
284,10.0,1.0
285,3.0,1.0
286,68.0,1.0
287,7.0,1.0
288,2.0,1.0
289,12.0,1.0
290,100.0,0.0
291,64.0,1.0
292,16.0,1.0
293,4.0,1.0
294,1.0,1.0
295,100.0,0.0
296,26.0,1.0
297,19.0,1.0
298,1.0,1.0
299,3.0,1.0
300,58.0,1.0
301,36.0,1.0
302,25.0,1.0
303,100.0,0.0
304,27.0,1.0
305,31.0,1.0
306,0.0,1.0
307,54.0,1.0
308,54.0,1.0
309,19.0,1.0
310,1.0,1.0
311,8.0,1.0
312,16.0,1.0
313,100.0,0.0
314,100.0,0.0
315,100.0,0.0
316,24.0,1.0
317,32.0,1.0
318,100.0,0.0
319,14.0,1.0
320,38.0,1.0
321,88.0,1.0
322,10.0,1.0
323,17.0,1.0
324,3.0,1.0
325,92.0,1.0
326,25.0,1.0
327,4.0,1.0
328,7.0,1.0
329,55.0,1.0
330,11.0,1.0
331,100.0,0.0
332,40.0,1.0
333,47.0,1.0
334,52.0,1.0
335,18.0,1.0
336,18.0,1.0
337,42.0,1.0
338,2.0,1.0
339,88.0,1.0
340,96.0,1.0
341,0.0,1.0
342,95.0,1.0
343,18.0,1.0
344,29.0,1.0
345,100.0,0.0
346,7.0,1.0
347,67.0,1.0
348,15.0,1.0
349,21.0,1.0
350,23.0,1.0
351,76.0,1.0
352,54.0,1.0
353,29.0,1.0
354,15.0,1.0
355,2.0,1.0
356,7.0,1.0
357,13.0,1.0
358,100.0,0.0
359,2.0,1.0
360,100.0,0.0
361,18.0,1.0
362,13.0,1.0
363,9.0,1.0
364,30.0,1.0
365,1.0,1.0
366,4.0,1.0
367,45.0,1.0
368,26.0,1.0
369,9.0,1.0
370,36.0,1.0
371,94.0,1.0
372,5.0,1.0
373,6.0,1.0
374,99.0,1.0
375,80.0,1.0
376,31.0,1.0
377,12.0,1.0
378,29.0,1.0
379,37.0,1.0
380,19.0,1.0
381,7.0,1.0
382,36.0,1.0
383,19.0,1.0
384,70.0,1.0
385,100.0,0.0
386,85.0,1.0
387,44.0,1.0
388,2.0,1.0
389,36.0,1.0
390,43.0,1.0
391,1.0,1.0
392,64.0,1.0
393,54.0,1.0
394,25.0,1.0
395,56.0,1.0
396,7.0,1.0
397,16.0,1.0
398,31.0,1.0
399,0.0,1.0
400,31.0,1.0
401,8.0,1.0
402,38.0,1.0
403,51.0,1.0
404,36.0,1.0
405,10.0,1.0
406,3.0,1.0
407,33.0,1.0
408,72.0,1.0
409,100.0,0.0
410,0.0,1.0
411,4.0,1.0
412,1.0,1.0
413,6.0,1.0
414,34.0,1.0
415,78.0,1.0
416,16.0,1.0
417,1.0,1.0
418,0.0,1.0
419,7.0,1.0
420,33.0,1.0
421,33.0,1.0
422,34.0,1.0
423,14.0,1.0
424,16.0,1.0
425,23.0,1.0
426,100.0,0.0
427,36.0,1.0
428,100.0,0.0
429,20.0,1.0
430,53.0,1.0
431,28.0,1.0
432,18.0,1.0
433,97.0,1.0
434,39.0,1.0
435,9.0,1.0
436,19.0,1.0
437,71.0,1.0
438,35.0,1.0
439,60.0,1.0
440,21.0,1.0
441,60.0,1.0
442,37.0,1.0
443,62.0,1.0
444,16.0,1.0
445,23.0,1.0
446,35.0,1.0
447,100.0,0.0
448,28.0,1.0
449,13.0,1.0
450,37.0,1.0
451,14.0,1.0
452,23.0,1.0
453,50.0,1.0
454,37.0,1.0
455,75.0,1.0
456,3.0,1.0
457,51.0,1.0
458,71.0,1.0
459,17.0,1.0
460,0.0,1.0
461,3.0,1.0
462,32.0,1.0
463,30.0,1.0
464,57.0,1.0
465,1.0,1.0
466,30.0,1.0
467,61.0,1.0
468,49.0,1.0
469,3.0,1.0
470,36.0,1.0
471,93.0,1.0
472,100.0,0.0
473,21.0,1.0
474,30.0,1.0
475,8.0,1.0
476,14.0,1.0
477,73.0,1.0
478,85.0,1.0
479,20.0,1.0
480,23.0,1.0
481,1.0,1.0
482,33.0,1.0
483,1.0,1.0
484,40.0,1.0
485,58.0,1.0
486,2.0,1.0
487,10.0,1.0
488,39.0,1.0
489,7.0,1.0
490,10.0,1.0
491,16.0,1.0
492,45.0,1.0
493,5.0,1.0
494,40.0,1.0
495,15.0,1.0
496,1.0,1.0
497,27.0,1.0
498,16.0,1.0
499,100.0,0.0
500,40.0,1.0
501,88.0,1.0
502,2.0,1.0
503,57.0,1.0
504,0.0,1.0
505,53.0,1.0
506,12.0,1.0
507,63.0,1.0
508,20.0,1.0
509,22.0,1.0
510,28.0,1.0
511,39.0,1.0
512,2.0,1.0
513,7.0,1.0
514,72.0,1.0
515,23.0,1.0
516,37.0,1.0
517,7.0,1.0
518,68.0,1.0
519,71.0,1.0
520,26.0,1.0
521,3.0,1.0
522,19.0,1.0
523,47.0,1.0
524,100.0,0.0
525,4.0,1.0
526,19.0,1.0
527,96.0,1.0
528,16.0,1.0
529,2.0,1.0
530,1.0,1.0
531,2.0,1.0
532,36.0,1.0
533,5.0,1.0
534,12.0,1.0
535,36.0,1.0
536,68.0,1.0
537,2.0,1.0
538,100.0,0.0
539,12.0,1.0
540,6.0,1.0
541,8.0,1.0
542,37.0,1.0
543,23.0,1.0
544,26.0,1.0
545,62.0,1.0
546,6.0,1.0
547,55.0,1.0
548,26.0,1.0
549,38.0,1.0
550,25.0,1.0
551,37.0,1.0
552,6.0,1.0
553,0.0,1.0
554,11.0,1.0
555,6.0,1.0
556,11.0,1.0
557,10.0,1.0
558,14.0,1.0
559,70.0,1.0
560,30.0,1.0
561,32.0,1.0
562,10.0,1.0
563,52.0,1.0
564,7.0,1.0
565,12.0,1.0
566,82.0,1.0
567,21.0,1.0
568,8.0,1.0
569,27.0,1.0
570,28.0,1.0
571,19.0,1.0
572,5.0,1.0
573,1.0,1.0
574,1.0,1.0
575,62.0,1.0
576,43.0,1.0
577,41.0,1.0
578,56.0,1.0
579,100.0,0.0
580,34.0,1.0
581,13.0,1.0
582,68.0,1.0
583,13.0,1.0
584,89.0,1.0
585,5.0,1.0
586,30.0,1.0
587,50.0,1.0
588,48.0,1.0
589,80.0,1.0
590,6.0,1.0
591,17.0,1.0
592,36.0,1.0
593,16.0,1.0
594,20.0,1.0
595,13.0,1.0
596,100.0,0.0
597,33.0,1.0
598,12.0,1.0
599,100.0,0.0
600,2.0,1.0
601,63.0,1.0
602,15.0,1.0
603,16.0,1.0
604,21.0,1.0
605,44.0,1.0
606,30.0,1.0
607,16.0,1.0
608,72.0,1.0
