,duration,has_event
0,14.0,1.0
1,51.0,1.0
2,3.0,1.0
3,90.0,1.0
4,56.0,1.0
5,3.0,1.0
6,40.0,1.0
7,25.0,1.0
8,47.0,1.0
9,1.0,1.0
10,12.0,1.0
11,43.0,1.0
12,42.0,1.0
13,69.0,1.0
14,2.0,1.0
15,26.0,1.0
16,9.0,1.0
17,63.0,1.0
18,58.0,1.0
19,15.0,1.0
20,33.0,1.0
21,10.0,1.0
22,80.0,1.0
23,90.0,1.0
24,0.0,1.0
25,0.0,1.0
26,40.0,1.0
27,5.0,1.0
28,83.0,1.0
29,14.0,1.0
30,3.0,1.0
31,64.0,1.0
32,44.0,1.0
33,44.0,1.0
34,2.0,1.0
35,12.0,1.0
36,93.0,1.0
37,81.0,1.0
38,11.0,1.0
39,13.0,1.0
40,10.0,1.0
41,36.0,1.0
42,14.0,1.0
43,5.0,1.0
44,69.0,1.0
45,34.0,1.0
46,1.0,1.0
47,23.0,1.0
48,29.0,1.0
49,34.0,1.0
50,1.0,1.0
51,3.0,1.0
52,7.0,1.0
53,27.0,1.0
54,12.0,1.0
55,75.0,1.0
56,49.0,1.0
57,40.0,1.0
58,81.0,1.0
59,17.0,1.0
60,1.0,1.0
61,2.0,1.0
62,2.0,1.0
63,2.0,1.0
64,19.0,1.0
65,47.0,1.0
66,4.0,1.0
67,8.0,1.0
68,84.0,1.0
69,100.0,0.0
70,6.0,1.0
71,16.0,1.0
72,22.0,1.0
73,11.0,1.0
74,8.0,1.0
75,38.0,1.0
76,36.0,1.0
77,8.0,1.0
78,68.0,1.0
79,15.0,1.0
80,44.0,1.0
81,30.0,1.0
82,73.0,1.0
83,100.0,0.0
84,4.0,1.0
85,42.0,1.0
86,62.0,1.0
87,26.0,1.0
88,20.0,1.0
89,75.0,1.0
90,43.0,1.0
91,2.0,1.0
92,72.0,1.0
93,62.0,1.0
94,47.0,1.0
95,100.0,0.0
96,1.0,1.0
97,72.0,1.0
98,65.0,1.0
99,6.0,1.0
100,42.0,1.0
101,79.0,1.0
102,38.0,1.0
103,12.0,1.0
104,1.0,1.0
105,55.0,1.0
106,6.0,1.0
107,13.0,1.0
108,22.0,1.0
109,20.0,1.0
110,66.0,1.0
111,38.0,1.0
112,66.0,1.0
113,29.0,1.0
114,35.0,1.0
115,44.0,1.0
116,57.0,1.0
117,29.0,1.0
118,94.0,1.0
119,50.0,1.0
120,9.0,1.0
121,4.0,1.0
122,94.0,1.0
